,2018-1Trimestre,2018-2Trimestre,2018-3Trimestre,2018-4Trimestre,2019-1Trimestre,2019-2Trimestre,2019-3Trimestre,2019-4Trimestre
Total,"78,167.67","90,101.51","92,646.64","80,598.76","80,225.22",,,
Bioenerg¡a,863.23,649.04,73.99,371.82,894.48,,,
Carboel‚ctrica,"7,077.59","8,188.42","7,664.41","5,949.91","6,265.28",,,
Ciclo Combinado,"37,595.03","40,996.00","45,568.15","39,892.08","40,094.69",,,
Cogeneraci¢n Eficiente,"2,177.83","2,212.00","2,308.06","2,335.93","2,315.41",,,
Combusti¢n Interna,754.47,"1,054.04","1,174.43","1,033.23","1,419.90",,,
E¢lica,"3,542.83","2,469.98","3,089.80","3,774.78","4,284.99",,,
Frenos Regenerativos,1.2,1.2,1.2,-,1.2,,,
Geot‚rmica,"1,408.89","1,302.57","1,298.55","1,364.79","1,395.20",,,
Hidroel‚ctrica,"5,991.93","10,749.00","8,876.08","6,909.45","5,137.93",,,
Importaci¢n,838.96,"1,082.02","1,101.72","1,040.02",798.12,,,
Lecho Fluidizado,749.01,"1,154.97","1,121.21","1,067.89",868.47,,,
Nucleoel‚ctrica,"3,525.40","3,219.48","3,454.63","3,475.40","2,382.59",,,
Solar,127.92,160.85,239,834.92,"1,037.43",,,
Termoel‚ctrica convencional,"10,127.23","12,978.56","12,077.58","8,472.13","9,306.91",,,
Turbog s,"3,386.13","3,883.36","4,597.83","4,076.40","4,022.59",,,
Extra,0,,,0,,,,
