Tarifas de Distribución de Energía Eléctrica,,,,,,
Acuerdo A/074/2015,,,,,,
ACUERDO POR EL QUE LA COMISIÓN REGULADORA DE ENERGÍA EXPIDE LAS TARIFAS QUE APLICARÁ LA COMISIÓN FEDERAL DE ELECTRICIDAD POR EL SERVICIO PÚBLICO DE DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA DURANTE EL PERIODO TARIFARIO INICIAL QUE COMPRENDE DEL 1 DE ENERO DE 2016 Y HASTA EL 31 DE DICIEMBRE DE 2018,,,,,,
Acuerdo A/054/2017,,,,,,
ACUERDO POR EL QUE LA COMISIÓN REGULADORA DE ENERGÍA MODIFICA EL DIVERSO A/074/2015 POR EL QUE LA COMISIÓN REGULADORA DE ENERGÍA EXPIDE LAS TARIFAS QUE APLICARÁ LA COMISIÓN FEDERAL DE ELECTRICIDAD POR EL SERVICIO PÚBLICO DE DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA DURANTE EL PERIODO TARIFARIO INICIAL QUE COMPRENDE DEL 1 DE ENERO DE 2016 Y HASTA EL 31 DE DICIEMBRE DE 2018,,,,,,
Acuerdo A/063/2018,,,,,,
"ACUERDO POR EL QUE LA COMISIÓN REGULADORA DE ENERGÍA EXTIENDE LA VIGENCIA DEL PERIODO TARIFARIO INICIAL DEL SERVICIO PÚBLICO DE TRANSMISIÓN Y DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA; DETERMINA LAS TARIFAS REGULADAS DE LOS SERVICIOS DE TRANSMISIÓN, DISTRIBUCIÓN, OPERACIÓN DEL CENTRO NACIONAL DE CONTROL DE ENERGÍA, OPERACIÓN DE CFE SUMINISTRADOR DE SERVICIOS BÁSICOS Y DE LOS SERVICIOS CONEXOS NO INCLUIDOS EN EL MERCADO ELÉCTRICO MAYORISTA",,,,,,
Acuerdo A/039/2019,,,,,,
"ACUERDO POR EL QUE LA COMISIÓN REGULADORA DE ENERGÍA DETERMINA CONTINUAR CON LA EXTENSIÓN DE LA VIGENCIA DEL PERIODO TARIFARIO INICIAL DEL SERVICIO PÚBLICO DE TRANSMISIÓN Y DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA; Y ACTUALIZA LOS FACTORES DE EFICIENCIA EN COSTOS ESTABLECIDOS EN EL ANEXO C DEL ACUERDO A/074/2015 Y DETERMINA LAS TARIFAS REGULADAS DE LOS SERVICIOS DE TRANSMISIÓN, DISTRIBUCIÓN, OPERACIÓN DEL CENTRO NACIONAL DE CONTROL DE ENERGÍA, OPERACIÓN DE CFE SUMINISTRADOR DE SERVICIOS BÁSICOS Y DE LOS SERVICIOS CONEXOS NO INCLUIDOS EN EL MERCADO ELÉCTRICO MAYORISTA APLICABLES AL 1° DE ENERO AL 31 DE DICIEMBRE DEL 2020",,,,,,
año,División de distribución,Tarifa DB1,Tarifa DB2,Tarifa PDBT,Tarifa GDBT,Tarifa GDMT
2016,Baja California,0.62,0.71,0.57,164.2,76.4
2016,Bajío,0.93,0.8,0.76,300.57,79.66
2016,Centro Occidente,1.25,1.07,1.02,402.72,125.92
2016,Centro Oriente,1.2,1.03,0.98,388.58,125.61
2016,Centro Sur,1.36,1.16,1.1,437.77,185.47
2016,Golfo Centro,0.91,0.74,0.92,308.94,102.15
2016,Golfo Norte,0.68,0.55,0.68,228.03,48.18
2016,Jalisco,1.36,1.17,1.11,439.99,133.04
2016,Noroeste,0.75,0.59,0.64,177.12,75.55
2016,Norte,1.18,1.04,1.11,299.87,63.78
2016,Oriente,1.33,1.14,1.08,429.63,172.39
2016,Peninsular,0.85,0.7,0.82,246.45,75.55
2016,Sureste,1.21,1.04,0.99,391.6,125.83
2016,Valle de México Centro,0.69,0.59,0.56,222.72,55.7
2016,Valle de México Norte,0.91,0.78,0.74,294.97,81.66
2016,Valle de México Sur,0.87,0.75,0.71,281.83,63.21
2017,Baja California,0.6642,0.7569,0.6079,175.56,81.68
2017,Bajío,1.0095,0.8651,0.8228,325.98,86.4
2017,Centro Occidente,1.354,1.1604,1.1036,437.23,136.71
2017,Centro Oriente,1.2912,1.1065,1.0524,416.95,134.78
2017,Centro Sur,1.4554,1.2472,1.1862,469.95,199.11
2017,Golfo Centro,0.9887,0.8007,0.9924,333.93,110.41
2017,Golfo Norte,0.7263,0.5882,0.7291,245.32,51.83
2017,Jalisco,1.4678,1.2578,1.1963,473.95,143.31
2017,Noroeste,0.8059,0.6368,0.6937,190.6,81.3
2017,Norte,1.2482,1.1055,1.18,317.73,67.58
2017,Oriente,1.4216,1.2183,1.1586,459.05,184.19
2017,Peninsular,0.9148,0.7573,0.8797,265.25,81.31
2017,Sureste,1.2776,1.0948,1.0413,412.54,132.56
2017,Valle de México Centro,0.7215,0.6183,0.588,232.98,58.26
2017,Valle de México Norte,0.9473,0.8118,0.772,305.88,84.68
2017,Valle de México Sur,0.9077,0.7778,0.7398,293.1,65.74
2018,Baja California,0.6829,0.7782,0.625,180.5,83.98
2018,Bajío,1.0535,0.9028,0.8586,340.17,90.16
2018,Centro Occidente,1.4146,1.2122,1.1529,456.78,142.82
2018,Centro Oriente,1.3326,1.142,1.0861,430.3,139.09
2018,Centro Sur,1.5027,1.2878,1.2247,485.24,205.59
2018,Golfo Centro,1.0281,0.8327,1.032,347.26,114.82
2018,Golfo Norte,0.7516,0.6087,0.7545,253.86,53.64
2018,Jalisco,1.5209,1.3033,1.2396,491.11,148.5
2018,Noroeste,0.8342,0.6592,0.7181,197.3,84.16
2018,Norte,1.2714,1.126,1.202,323.63,68.83
2018,Oriente,1.4607,1.2517,1.1905,471.67,189.25
2018,Peninsular,0.9471,0.784,0.9108,274.6,84.18
2018,Sureste,1.2935,1.1085,1.0543,417.7,134.22
2018,Valle de México Centro,0.7252,0.6215,0.591,234.17,58.56
2018,Valle de México Norte,0.9435,0.8085,0.769,304.66,84.34
2018,Valle de México Sur,0.9067,0.777,0.739,292.79,65.67
2019,Baja California,0.706,0.8045,0.6461,186.59,86.82
2019,Bajío,1.1052,0.9471,0.9008,356.88,94.59
2019,Centro Occidente,1.4857,1.2732,1.2109,479.75,150
2019,Centro Oriente,1.3827,1.1849,1.1269,446.48,144.32
2019,Centro Sur,1.56,1.3368,1.2714,503.73,213.42
2019,Golfo Centro,1.0749,0.8705,1.079,363.05,120.04
2019,Golfo Norte,0.782,0.6333,0.785,264.12,55.81
2019,Jalisco,1.5844,1.3578,1.2913,511.63,154.7
2019,Noroeste,0.8682,0.686,0.7473,205.34,87.59
2019,Norte,1.3021,1.1532,1.231,331.45,70.5
2019,Oriente,1.509,1.2931,1.2298,487.26,195.51
2019,Peninsular,0.9857,0.816,0.948,285.82,87.62
2019,Sureste,1.3169,1.1285,1.0733,425.24,136.64
2019,Valle de México Centro,0.7329,0.6281,0.5973,236.66,59.19
2019,Valle de México Norte,0.945,0.8098,0.7702,305.14,84.48
2019,Valle de México Sur,0.9109,0.7806,0.7424,294.13,65.97
2020,Baja California,0.7156,0.8154,0.6549,189.12,87.99
2020,Bajío,1.1202,0.96,0.913,361.72,95.87
2020,Centro Occidente,1.5059,1.2905,1.2273,486.26,152.04
2020,Centro Oriente,1.4014,1.201,1.1422,452.54,146.28
2020,Centro Sur,1.5811,1.355,1.2887,510.56,216.31
2020,Golfo Centro,1.0894,0.8823,1.0936,367.97,121.67
2020,Golfo Norte,0.7926,0.6419,0.7956,267.7,56.56
2020,Jalisco,1.6059,1.3762,1.3089,518.57,156.8
2020,Noroeste,0.88,0.6953,0.7575,208.13,88.77
2020,Norte,1.3188,1.1681,1.2468,335.71,71.4
2020,Oriente,1.5294,1.3107,1.2465,493.87,198.16
2020,Peninsular,0.9991,0.8271,0.9608,289.7,88.81
2020,Sureste,1.3328,1.1422,1.0863,430.38,138.29
2020,Valle de México Centro,0.7364,0.6311,0.6002,237.79,59.47
2020,Valle de México Norte,0.9426,0.8077,0.7682,304.36,84.26
2020,Valle de México Sur,0.9116,0.7812,0.743,294.38,66.03
